Id,EssaySet,EssayText,EssayScore
439,1,In this experiment an additional iformation to perform the experiment would be that the amount of vinegar is poured into the container. This may effect the amount of mass lost fom the samples. I also think placing them in certain places with different temparatures effects how much the samples would loose mass.,2
571,1,"One thing you would need to know to complete this experiment is know how much vinegar do you need to put in the vinegar. And lastly how long are you keeping these samples in vinegar for? Days, weeks,it never tells you this information, it would be much more accurate if we knew those following things.",1
568,1,Step one really should go at the end. You need to state the amount of vinegar that goes into the containers. Tell us the names of the elements along with the amount being tested. Tell which sample to begin the experiment with and what to label it. I would need to know how to determine the mass of the samples and make a graph.,2
535,1,Information I would need to replicate I mass 4 samples. Should I,2
1618,1,"In order to replicate the experiment, I would need to know what type of samples I should use in the experiment. Just saying samples is not specific enough. I should have the exact type of material. I also need to know the exact amount of vinegar to use in the experiment. Should I use a lot of vinegar, or a little? 4 ml amount of vinegar is needed to replicate the experiment. I also need to know how to find the difference in mass. In procedure says to determine the mass of each sample but it does not say how to find the difference which is what will solve the problem in the experiment.",2
136,1,"The additional information that is needed in the procedure is they should state what samples are going to be used. Also, they should include how much vinegar we need to pour into the container because different amounts could have different results. Lastly, It should include the size of the container because it could have a different result.",2
1303,1,"You should obtain 4 seperate containers. And then mass the container so you can subtract the weight of the container when you mass the samples. This will give you just the mass of the samples, not the samples and container combined. The amount of vinegar to add to the samples should also be determined more clearly.",1
71,1,"What you would need is the imformation on how much vinegar is added to every sample. For example, one sample can be in a different amount of vinegar. So that can throw their ending masses off.",1
343,1,"The additional information that you would need in order to replicate the experiment would be, what kind of containers do they want us to use? You would need a sample of each of the substances. As well as knowing what type of each substance you need. Last you would need the vinegar to pour into each of the containers, which changes the mass of each sample.",3
290,1,The additional information you would need in order to replicate the experiment is the amount of vinegar they pour into the four seperate containers. They also forgot to say the amount of water they needed to rinse each sample.,1
1553,1,"In order to replicate the experiment, I would need to know what I would measure to measure the mass with a sale. Second, I would need to know to measure the mass in grams. Third, I would need to know if I should round the mass to the nearest tenth or hundreth of the gram.",0
549,1,One thing they could have that they don't is a control of this procedure.The next thing they could have changed that they could have said how to get or determine the mas of each of the building material.The final thing is that I think with starting and ending mass they should have multipletllals.,0
786,1,One piece of information that would be needed to replicate this experiment is the amount of vinegar in the container. What the four samples are.,2
211,1,"The procedure is missing a few initial details about the experiment. There should be a control of how much vinegar is placed into each cup and the percentage of the vinegar should also be same to each cup. The group should explain more on how the samples will be washed since if they washed them in a jer a sink pieces could chip off, decreasing the mass. The group also needs to be more specific on the containers being used: whether they have atop and if they all are the same color and size.",3
900,1,"The additional information I would need in order to replicate this experiment is determining the mass of force different samples, make sure you let  it sit for a white and make sure pour pour vinegar in each of four separate but identical containers.",0
1179,1,"-Change the amount of havre. ^p -Leave the samples to sit and dry for more or less than 30 minutes. ^p -Pour vinegar in each of for separate, but different containers.",0
1287,1,Additional information I would need in order to replicate the experiment would be the amount of vinegar you need to pour into the cups. What the samples you're using or and what your control group is going to be. There are important parts of the procedure that are missing.,1
186,1,"The experiment is lacking several pieces of information about the procedure. For example the amount of vinegar added to the containers is not described. The method of determining the mass as well as the four sample materials, has not been specified in the procedural information.",2
50,1,"How much vinager should you pour, with what label, and when to sit it, it sitand dry for 30 min...Label. The container's reapetedly, separate but identicle conatainer. What containers should we use?",3
1476,1,To repeat this lab I would need to know what kind of vinegar they used. How much vinegar they used and if the containers was covered or not.,3
567,1,"In order to replicate this experiment you would need to know what kind of samples to use. One would also have to know how much vinegar is being put in each container. Also, the students should specify what kind of container they are using in order to most closely replicate this.",3
1226,1,"In order to replicate this experiment you would need to know how much vinegar would be added to each tube. The group also need to specify what the ""samples"" are. Also they never put a step in to weigh the marble before the experiment/procedure was over.",2
974,1,"I dont think i would add any additional information, The procedure seems pretty straight forward and very informational.",0
1300,1,In order to replicate this experiment there are a few things that could be done. One would be to say how large each sample should be. It should also include what type of sample is being tested & another thing would be to include how much vinegar to use. Another good thing would be to have multiple trials.,1
169,1,You should repeat each step in the experiment. Start with step 1 and go all the way to step 6.,0
1641,1,"First you would name the four distrant substances, say the size of the container also how much of each substance in each container should be specified. Overall this experiment needs to be more spesific and valid for this lab to be repeated",2
100,1,The group should of added the amount of vinegar used for control. Also they should have compared at least one more trial material before reply 2conclusion.The recommended sizes of the samples should have also been stated in order for the conclusion to be easy to compare with other group attempting to complete this experiment.,2
241,1,"To replicate the experiment,you would need to know the amount of vinegar in step 2. In step 4, a person would need to know the temperature the 4 'samples' are waiting 24 hours in. In step 3, the procedure states a sample of one material unless the 4 materials were given to the experimenter bit ready the procedure, the actual names of each of the materials should be given. Temperature for step 5 would also be good additional info as well.",3
1027,1,"You need to know the amount of vinegar that you have to pour in the four separate containers. You also need to know what size container you are putting the sample in. Also, you need to know what temperature you leave the samples to sit and dry at for 30 min.",3
1539,1,"To properly replicate the Acid rain experiment, you would need more information than is given in the current procedure. You would need to know what materials the "" four different samples"" are in step one, how much vinegar to put in the "" separate, identical containers"" in step two nd specify each sample goes in its own container, rather than only ""plase in in single sample in a single container.",2
204,1,"First, it doesn't tell the amount of vinegar to pour into the four containers. Next, it doesn't say how to allow the samples to sit and dry for 30 minutes, maybe they need a cover for it but we don't know from this information. In addition, there is an information about how they determined the mass.",3
1241,1,The additional information that is needed to replicate this experiment is the amount of vinegar that is poured in to the containers. How much of the sample material should be massed and should the same sample be used tofint in to the single container. Specify in the procedure what kind of sample materials to use.,2
1450,1,"To replicated the experiment, I would need to know the time at which they began and the time they ended at.",0
1356,1,"Initially, in order to do this expirament one would need to know which individual samples to use and what kind of samples to use. The students should have included the amount of vinegar to pour into each container so the investigation would be consistant in order for the expirament to be accurately reproduced. The students  should have included the type and size of the container, the apparatis used to measure the mass of each sample and included a list of materials for future investigations",3
678,1,To replicate this experiment I would have to know how much vinegar to poor. I would have to know whatknd of samples to use.,2
1273,1,"After I read the groups procedure, I determined that you need to know how much vinegar to pour in the contain in step 2. Another piece of information you need is what type of vinigar you need. The last piece of information you need is what size container should you use.",3
276,1,The students did not make it clear as to what materials they used as samples. They also didn't specify how much of each sample. They also did not indicate why the mass was lost or where it went.,1
1165,1,"The additional information I would need in order to replicate this experiment is 1) To gather all the materials. 2) Tell how much distilled water, how big each container was. ^p 3) Record data.",1
24,1,"For this experiments duplication, you would need to know exactly how much vinegar was used in each cup. You would also have to know how big in size each container was. Additionally, you would need to know the size of each sample, to assure that you could place them in the cups evenly.",3
1524,1,Additional infomation that you would need to replicate this experiment is to remember to write in the procedure to record data. Also name the four different samples you will be working with. Also make sure you work with one sample at a time.,1
612,1,1. Have a determined size for the starting samples of rock. ^p 2. Determine an amount of vinegar. ^p 3. Determine what type of containers are being used.,2
1359,1,The group is missing a whole in 1 of important details. I would need to know how much vinegar to use for one,1
507,1,"There are many things missing from this procedure which make it hard to replicate the experiment. Some pieces of information they could add are the type of sample to use and the mass each sample should be. These would help because will not them you don't know which samples you are supposed to use and if they're not all the same across you could get invalid results. Also, they need to tell you how much vinegar to put in each cup or else, once again there is a risk of the data being invalid.",2
332,1,"After reading the groups procedure, to replicate this experiment, I would need to know the exact amount of vinegar to pour into each sample so the results are acurate. They would also need to include the four samples names, marble, limestone, wood and plastic. So I know what everything what everything is so I can create a data table. They would also need to include in the procedure that when massing the substances, I would first need to zero the containers on the scale and then bar the sample in.",2
1339,1,"The additional information you would need inorder to replicate the experiment is tell how much vinegar to place into each containers, tell the size of each material such as the marble, limestone, wood acid wester.  The should also add wat the material would most likely look like after the experiment.",2
412,1,The group would need say what the four samples are in the procedure. They need to tell you how much vinegar to pour in each container. The group also does not tell you how to way each sample's mass.,2
1467,1,Say what kinds of materials there using. Why there doing are experiment.,0
415,1,"In order to replicate this group's procedure, I would need the following information: ^p 1. When they say in step one that they need to determine the mass of four different samples, they should name and list the samples that they plan on using. ^p 2. In step two when they say to pour vinegar in each of the four separate but identical containers, they should make mention or how much vinegar we should pour in. ^p 3. When they say in step  four that we should rinse each sample with distilled water, how much water should we use and how long should we rinse.",3
1161,1,"In order to replicate the group's experiment I would have to know more information. For example, it says to put vinegar, but it doesn't say the measurement of how much would be needed. It would also have to say what type and what size container to put the vinegar in. Lastly, the procedure would also have to say what types of samples they would be placing inside the container with vinegar.",3
1423,1,"Some information needed is that they should tell us what the samples are, what to measure them in  and how much vinigare to use because it will change the experiment alone by not adding the same amounts.",2
916,1,"I would need to determine the mass of four different samples. Also, place a sample of one material into one container and label and after 24 hours,remove the samples frim the containers. I would have to do the mass of grams for the samples.",0
454,1,To replicate the experiment you wood need to no what materials they used for the experiment. Also you wood need to no how much vinegar they put in each of the containers. Finally you wood need to no what size the container is so that you can tell how much of the vinegar is tuching it.,3
1180,1,One thing you would need to know to replicate the experiment is what the temp of the vinegar was because that can affect your results. Another thing you wouldneed toknowis how much vinegar was put into each container because that could also change the results. The last thing you would need to know is what they weighed the objects on because if you use another type of scale it could change your results.,1
758,1,"In order to replicate this experiment I would need a hypothesis, the materials that are needed and the measurement of liquid I would need. I would do the experiment the same way so I would also need to know what kind of container to use. I would also need to know at what time the experiment started and ended.",3
317,1,"After reading this procedure i think it would need task needed. Tell what it is you are doing and what solution, and a hypothesis.",0
695,1,"After reading the groups procedure, additional information Ii would need in order to replicate the experience is; 1) Choose 4 different samples to work with. 2) Instead of pouring vinegar onto the samples use another liquid form. 3) And finally, instead of letting the samples sit and dry for 30 min, you can have them sit and dry for longer or shorter than 30 min.",0
66,1,"To exactly replicate this experiment you would have to know, how they measured the mass of the object, because without that how would we figure out the different masses. We have to know the starting mass, the ending mass and the difference in mass.",0
622,1,"The additional information you will need to replicate this experiment is how much more of the needed samples you need, how much time you will need to go through with the procedure and what your starting mass needs to be.",0
30,1,"In step three, you would need to know how much of each sample to use. Also in step to you need to fill each container with the same amount step 4 you must rinse each stone as much. Also there is no control variable.",2
545,1,"Pour vinegar in each of four peparate but identical, containers. After 24 hours, remove the samples from the containers and rinse each sample with distilled water. Allow the samples to sit and dry for 30 minutes.",0
1173,1,"After reading the groups procedure, to replicate this experiment I would need information such as the amount of vinegar used to  make  acid rain I would also need a control group as well as doing the experiment at least 2 more times to have more accurate conclusion.",1
1557,1,"To replicate the procedure you would also need to know that the samples are marble, limestone, wood and plastic. Second thing you need to know is what type of wood because some woods are harder than others the last thing you need to know is how much vinegar is in each asp.",2
1385,1,Additional information you would need to be the exact measurement of the vinegar you are pouring in own cup. You would also need to measure the amount of vinegar after the 24 hours sitting. Also you would need to know what temperature the containers would need to be placed out to receive the most erosion.,2
1352,1,"Well, you will need the same amount of objects to the other experiment, so it could be the same.",0
1044,1,"The additional information needed is the amount of vinegar put into the containers. They had only done the procedure once, to make it valid they had to do it 3 more times. They have to get the exact or the same containers to get a fair result. In the procedure it says (2) pour vinegar in each of 4 separate, but identical containers.",1
31,1,"I additional information that I would need to replicate the experiment is to add where your going to leave the samples for 24 hours. Another one that they would need to add in order for me to replicate the experiment is to clearly state the independent variable. I would also need them to state how much vinegar to pour into each seperate but identical, container.",2
1203,1,You need to know the amount of vinegars you poured. The size of the containers you are using. and all samples must be put in the same areas. Because the temperature and sunlight's does changes the result.,3
1068,1,"The first, most dmas piece of information missing from the procedure is the 4 types of samples you need in the expirement. You cannot replicate the expirement without knowing what samples to use. The next piece of information missing is how large the sample should be. You should not have to guess what or appropate size should be. Also, the procedure does not include the amount of vinegar needed to be poured into each container. The amount of vinegar needed is essential information. Also, the procedure does not include how or where the samples should be stored. For example, should they be left covered or not?",3
773,1,To replicate that experiment you would need to know what the names are of what your weighting. The students also need to include how much vinegar to pour at each of the samples being tested. The final thing would be that the whole procedure needs to be more thorough and more organised with no missing steps or information.,2
1143,1,"Record mass of all different samples, record the starting mass of each sample, record the entry mass and the difference in mass.",0
427,1,"If there is a control they would need to identify it, they should also tell the type of material, tell the mass' unit of measurement.",1
1492,1,"In order to replicate th experiment the students will need to add 5 things. What type of woods, plastic, limestone and marble so for example th wood thy use is hard than the wood you use. How much vinegar needs to be poured in it enough to cover it or not. Also what siz container. Another thing to change how long is each sample rinsed for so some don't absorb more or less water. And finally what temperature does th samples dry at because in higher or lower temperatures or humid environments th samples may dry at a different speed.",3
527,1,"In order to replicate this group's experiment, I would need to know how much vinegar to pour in each",3
333,1,"More information is needed, more steps because its not enough to direw a conclusion. Not many materials are listed.",0
345,1,"In order to replicate this experiment the amount of vinegar used in each separate container must be known. Also, the type of container is not specified nor is the number of pieces of the samples that should be tested stated. All of these need to be known in order to replicate the experiment.",2
597,1,The students could have included how be determined the mass of the four items. They would also need to include the amount of vinegar they added to each container. It is also important that they include how much or how long the rinsed each item under the distilled water.,2
1599,1,One piece of information needed to replicate the experiment would be material starting because it could or from the. Another would be how many of each sample you are puting in the cup. And the last could be if there was a control to the experiment.,0
414,1,They need to repeat every step that already preformed.,0
1236,1,"In the procedure more specific information is needed, such as the steps to determining the mass of each sample, how much vinegar should be poured in the four seperate containers and into what containers and with what do you label them with. With more specific information this would be a well written procedure.",2
1245,1,"In order to replicate the experiment I need to know what the samples are, such as  wood or marble. I need to know how to find the mass of the samples such as by using a triple beam balance and I need to know how big the samples should be.",1
515,1,"In order to repeat this experiment you would need to know what containers the samples were put in , how much vinegar to pour into the containers and where you should let the samples dry off.",3
116,1,"In order to replicate this this experiment youwould need the starting mass, ending mass and difference in mass.",0
1178,1,"In order to replicate the experiment you would need to have to add some steps. A few steps that were missing would be the amount of vinegar poured in each cup, how long to rinse the distilled water and also where to let these samples dry off at.",3
1095,1,You may also use a couple of samples incase you make a mistake while you are putting that one sample in that container. You never know you can mes up.,0
807,1,"After reading the group procedure, the additional information needed is the name of the four different samples. The group does not say what they are, also one ober not but needs to know the site of each sample another pieces of information needed has much vinegar should be poured into each container. The group also needs to put into there procedure what measurement they should and call use to weight the mass of each sample.",3
1297,1,Another important  piece of information we would need to know is how much vinegar would need to be put into each cup because if we poured more vinegar into one cup and a little into another cup the results may vary.,1
33,1,"For this experiment, you would actually need to know what each ''sample'' is, the amount of vinegar that was used and the size of each ''sample''",3
1024,1,"In order to replicate the experiment, there is some information that wasn't involved that is needed. First, in the product it just said pour vinegar. It didn't say how much which is important. Another important factor that would be needed is in what temperature to let the samples sit and deap in, in steps, it justsaid let it dry for 30 minutes, to didn'nt sayat whattemperature. Finally, when step 4 says, mix with distilled water, it doesn't say what temperature the distilled water has, it just says distilled water. I would need to kwow at what temperature distilled water has to be.",2
1347,1,You need some pictures and a statement.,0
1484,1,"You would need to know how much of each substance was used in order to replicate the experiment. You would also need to know how much vinegar should be put into the samples because if you use different amounts then the result may not be the same as the original. Thirdly, how large each container should be because if the containers are too small some of the samples may leak out and ruin the results for the acid rain lab.",2
1334,1,For step two how much vinegar do you pour in? ^p For step four how do you remove the samples from the containers? ^p For step three what do you label the container?,1
576,1,"In order to replicate the experiment, I need to know how much vinegar did the group of students pour in the identical containers, I need to know how much vinegar the students pour because its really important because maybe the students pour less vinegar in one cup and pour more in the other.",1
1650,1,"In order to replicate the experiment, you would need to know about acid rain and the products you are testing, how to calculate mass, know how to compare the mass of the product before and after the experiment.",0
367,1,"In order to replicate the experiment after reading, you will need to know what the 4 different samples are. You will also have to know how much vinegar to pour in each container. You will have to rich what the measure is when you are let it sit for the 24 hours.",3
1661,1,"In order to replicate the experiment I would need to know the amount of vinegar they used in each container, the type of container, what they mean by a four different samples, (if not given data table), as well as the form of the rock, liquids, crushed whole etc).",3
252,1,"They need to state how much vinegar to pour in each container, what kind of samples to use and how much testing needs to be done after 24 hours.",3
245,1,"In order to replicate this experiment i would have to know a few more things. One thing i need to know is the temperature at which they did the experiment. I would also need to know how much vinegar was used in the containers. Lastly, i would need to know the appropriate time for rinsing the samples.",3
1089,1,I would need to know the size of the container and how much vinegar I put in container.,2
1434,1,You need a mearing cup the mearer the mass of energy. Then we get plastic of starting mass.,0
783,1,On the groups procedure some additional information I would need in order to replicate this experiment would be is what sample and you start first what happens if nothings happens to the sample in 24 hours and how do you find the difference in mass.,0
